timestamp,turn,phase,nation,unit_id,unit_type,action_type,from_q,from_r,to_q,to_r,target_q,target_r,target_type,target_value_before,target_value_after,movement_mode,path_len,path_used,progressive_used,adaptive_frac,mp_before,mp_after,fuel_before,fuel_after,combat_dmg_dealt,combat_dmg_taken,enemy_adj_before,enemy_adj_after,threat_level,decision_reason,extra_tags,reason,skip_reason,target_search_candidates,target_search_best_score,target_search_best_distance,group_id,group_size,group_leader_pos,group_assignment_score,strategic_state,aggression_level,priority_level,target_is_free,fallback_used,enemy_distance,threat_assessment,coordination_mode,ai_memory_target,reassignment_count,tactical_mode,pathfinding_failures,valid_candidates,total_candidates,unit_mp_available,unit_fuel_available
2025-09-15T23:52:06.205056,,,Polska,K_Pluton__3_Oddzia_Jazdy,,second_move,,,31,17,,,,,,,,,,,,,,,,,,,,,,second_chance after LOW_FUEL,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.206700,,,Polska,RESUPPLY_NEEDS,,resupply_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,NEEDS_ANALYSIS PRE_RAID_OPTIMIZATION | TOTAL_FUEL_NEEDED: 30 | TOTAL_COMBAT_NEEDED: 0 | TOTAL_PE_NEEDED: 30 | BUDGET_AVAILABLE: 81 | UNITS_REQUIRING_HELP: 10,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.207866,,,Polska,Z_Pluton__3_Batalion_Wsparcia,,resupply_bonus,12,26,12,26,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 20 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.208871,,,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa,,resupply_bonus,27,19,27,19,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 19 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.208871,,,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa_20250913214023,,resupply_bonus,17,20,17,20,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 18 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.210223,,,Polska,P_Kompania__3_Batalion_Strzelc_w,,resupply_bonus,41,10,41,10,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 17 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.213243,,,Polska,P_Pluton__3_Pu_k_Piechoty,,resupply_bonus,39,12,39,12,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 16 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.213243,,,Polska,P_Batalion__3_Pu_k_Piechoty,,resupply_bonus,34,15,34,15,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 15 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.214633,,,Polska,P_Pluton__3_Pu_k_Piechoty_20250913214024,,resupply_bonus,41,12,41,12,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 14 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.215674,,,Polska,Z_Kompania__3_Kompania_Zaopatrzeniowa,,resupply_bonus,37,14,37,14,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 13 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.215674,,,Polska,P_Pluton__3_Kompania_Grenadier_w,,resupply_bonus,39,13,39,13,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 12 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.216679,,,Polska,K_Pluton__3_Oddzia_Jazdy,,resupply_bonus,31,17,31,17,,,,,,,,,,,,,,,,,,,,,,bonus_phase PRE_RAID_OPTIMIZATION | PE_SPENT: fuel=1 combat=0 total=1 | BONUS_ALLOCATION: 2 PE available | REMAINING_BUDGET: 11 PE,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.217718,,,Polska,RESUPPLY_OPERATION,,resupply_summary,,,,,,,,,,,,,,,,,,,,,,,,,,RESUPPLY_SUMMARY PRE_RAID_OPTIMIZATION | TOTAL_PE_SPENT: 10 | UNITS_RESUPPLIED: 0/10 | BUDGET_ALLOCATED: 81 | PE_REMAINING: 81,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.227500,,target_selection,Polska,Z_Pluton__3_Batalion_Wsparcia,,target_analysis,,,,,13,26,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,1,1
2025-09-15T23:52:06.232527,,,Polska,Z_Pluton__3_Batalion_Wsparcia,,second_move,,,13,26,,,,,,,,,,,,,,,,,,,,,,second_chance after PRE_RAID_OPTIMIZATION,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.242673,,target_selection,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa_20250913214023,,target_analysis,,,,,18,20,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,2,1
2025-09-15T23:52:06.248610,,,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa_20250913214023,,second_move,,,18,20,,,,,,,,,,,,,,,,,,,,,,second_chance after PRE_RAID_OPTIMIZATION,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.260981,,target_selection,Polska,P_Kompania__3_Batalion_Strzelc_w,,target_analysis,,,,,42,10,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,3,1
2025-09-15T23:52:06.266581,,,Polska,P_Kompania__3_Batalion_Strzelc_w,,second_move,,,42,10,,,,,,,,,,,,,,,,,,,,,,second_chance after PRE_RAID_OPTIMIZATION,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.275690,,target_selection,Polska,K_Pluton__3_Oddzia_Jazdy,,target_analysis,,,,,32,17,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,2,1
2025-09-15T23:52:06.282625,,,Polska,K_Pluton__3_Oddzia_Jazdy,,second_move,,,32,17,,,,,,,,,,,,,,,,,,,,,,second_chance after PRE_RAID_OPTIMIZATION,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.356330,,,Polska,RESUPPLY_NEEDS,,resupply_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,NEEDS_ANALYSIS MULTI_TURN_START | TOTAL_FUEL_NEEDED: 24 | TOTAL_COMBAT_NEEDED: 0 | TOTAL_PE_NEEDED: 24 | BUDGET_AVAILABLE: 72 | UNITS_REQUIRING_HELP: 10,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.357342,,,Polska,RESUPPLY_OPERATION,,resupply_summary,,,,,,,,,,,,,,,,,,,,,,,,,,RESUPPLY_SUMMARY MULTI_TURN_START | TOTAL_PE_SPENT: 0 | UNITS_RESUPPLIED: 0/10 | BUDGET_ALLOCATED: 72 | PE_REMAINING: 81,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.415356,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 5 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:52:06.436327,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 5 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:52:06.446781,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 1 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:52:06.457880,,target_selection,Polska,P_Kompania__3_Batalion_Strzelc_w,,target_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,7,0
2025-09-15T23:52:06.461010,,,Polska,RESUPPLY_NEEDS,,resupply_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,NEEDS_ANALYSIS LOW_FUEL | TOTAL_FUEL_NEEDED: 25 | TOTAL_COMBAT_NEEDED: 0 | TOTAL_PE_NEEDED: 25 | BUDGET_AVAILABLE: 72 | UNITS_REQUIRING_HELP: 10,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.464262,,,Polska,RESUPPLY_OPERATION,,resupply_summary,,,,,,,,,,,,,,,,,,,,,,,,,,RESUPPLY_SUMMARY LOW_FUEL | TOTAL_PE_SPENT: 0 | UNITS_RESUPPLIED: 0/10 | BUDGET_ALLOCATED: 72 | PE_REMAINING: 81,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-15T23:52:06.473535,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 1 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:52:06.492924,,target_selection,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa,,target_analysis,,,,,25,19,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,5,2
2025-09-15T23:52:06.501119,,strategy,Polska,STRATEGY,,strategic_decision,,,,,,,,,,,,,,,,,,,,,,,,,,"Strategy: REASSIGNMENT, aggression 0.50, 1 groups, 0 reassignments",,,,,,,,,REASSIGNMENT,0.5,,,,,,adaptive,,0,dynamic_reassignment,,,,,
2025-09-15T23:52:06.506753,,target_selection,Polska,Z_Pluton__3_Kompania_Zaopatrzeniowa_20250913214023,,target_analysis,,,,,,,,,,,,,,,,,,,,,,,,,,"Target analysis: 29 candidates, score -1.00",,29,-1,999,,,,,,,,,False,,,,,,,29,29,29,7,0
