data_czas,tura,nacja,typ_informacji,wiarygodnosc_zrodla,swiezosc_informacji,wykryte_jednostki_wroga,przewidziane_ruchy_wroga,zmiana_oceny_zagrozenia,wykryty_kontrwywiad,prawdopodobienstwo_niespodzianki,luki_informacyjne,poziom_pewnosci_wywiadu,przydatne_informacje,wymiana_informacji,dokladnosc_przewidywan_historyczna,rozpoznanie_wzorcow_wroga,prawdopodobienstwo_oszustwa
2025-09-17 21:54:48,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:49,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:50,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:51,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:52,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:53,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:55,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:56,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:54:58,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:55:00,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:55:02,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:55:04,N/A,Niemcy,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:55:06,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
2025-09-17 21:55:08,N/A,Polska,RECONNAISSANCE_SCAN,0,CURRENT,0,N/A,NO_CHANGE,True,N/A,SIGNIFICANT,N/A,False,INTERNAL_ONLY,N/A,NONE,N/A
