timestamp,component,level,message,context
2025-10-04T22:02:35,TOKEN,INFO,P_Pluton__3_Kompania_Grenadier_w: koniec tury (wydane PE=2),"{""allocated_pe"": 5, ""spent_pe"": 2, ""unused_pe"": 3, ""movement_success"": true, ""movement_attempts"": 2, ""movement_destination"": [34, 6], ""movement_last_success"": true, ""movement_last_distance"": 1, ""movement_distance_total"": 2, ""movement_mp_spent"": 1, ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 5, ""resupply_spent"": 2, ""refueled"": 2, ""combat_restored"": 0, ""reserved_pe"": 6, ""remaining_mp"": 4, ""remaining_fuel"": 2, ""combat_value"": 8, ""movement_mode"": ""march"", ""token_destroyed"": false, ""status"": ""normal"", ""hold_position"": false}"
2025-10-04T22:02:35,TOKEN,INFO,Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: start tury (budżet PE=5),"{""allocated_pe"": 5, ""position_q"": 33, ""position_r"": 5, ""move_points"": 6, ""fuel"": 4, ""combat_value"": 4, ""movement_mode"": ""combat"", ""status"": ""normal"", ""planned_actions"": [""attack"", ""maneuver""], ""action_profile"": ""combat""}"
2025-10-04T22:02:35,TOKEN,INFO,"Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: ruch na (34, 5) udany","{""destination_q"": 34, ""destination_r"": 5, ""remaining_mp"": 5, ""remaining_fuel"": 3, ""movement_step_distance"": 1, ""mp_spent"": 1, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,INFO,"Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: ruch na (35, 4) udany","{""destination_q"": 35, ""destination_r"": 4, ""remaining_mp"": 4, ""remaining_fuel"": 2, ""movement_step_distance"": 1, ""mp_spent"": 1, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,INFO,"Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: ruch na (36, 3) udany","{""destination_q"": 36, ""destination_r"": 3, ""remaining_mp"": 3, ""remaining_fuel"": 1, ""movement_step_distance"": 1, ""mp_spent"": 1, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,INFO,"Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: ruch na (37, 2) udany","{""destination_q"": 37, ""destination_r"": 2, ""remaining_mp"": 2, ""remaining_fuel"": 0, ""movement_step_distance"": 1, ""mp_spent"": 1, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,DEBUG,Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: uzupełnia paliwo o 3,"{""fuel_after"": 3, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,DEBUG,Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: uzupełnia paliwo o 1,"{""fuel_after"": 4, ""movement_mode"": ""combat""}"
2025-10-04T22:02:35,TOKEN,INFO,Z_Pluton__3_Kompania_Zaopatrzeniowa_20251004090826: koniec tury (wydane PE=4),"{""allocated_pe"": 5, ""spent_pe"": 4, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 4, ""movement_destination"": [37, 2], ""movement_last_success"": true, ""movement_last_distance"": 1, ""movement_distance_total"": 4, ""movement_mp_spent"": 4, ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 5, ""resupply_spent"": 4, ""refueled"": 4, ""combat_restored"": 0, ""reserved_pe"": 2, ""remaining_mp"": 2, ""remaining_fuel"": 4, ""combat_value"": 4, ""movement_mode"": ""combat"", ""token_destroyed"": false, ""status"": ""normal"", ""hold_position"": true}"
2025-10-04T22:02:44,TOKEN,INFO,P_Kompania__5_Grenadier_Bataillon: start tury (budżet PE=23),"{""allocated_pe"": 23, ""position_q"": 34, ""position_r"": -3, ""move_points"": 4, ""fuel"": 2, ""combat_value"": 11, ""movement_mode"": ""march"", ""status"": ""normal"", ""planned_actions"": [""maneuver""], ""action_profile"": ""patrol""}"
