timestamp,component,level,message,context
2025-10-01T00:03:54,TOKEN,INFO,TL_Kompania__2_Batalion_Pancerny: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 24, ""position_r"": -9, ""move_points"": 4, ""fuel"": 3, ""combat_value"": 14}"
2025-10-01T00:03:55,TOKEN,INFO,"TL_Kompania__2_Batalion_Pancerny: ruch na (25, -10) udany","{""destination_q"": 25, ""destination_r"": -10, ""remaining_mp"": 3, ""remaining_fuel"": 2}"
2025-10-01T00:03:55,TOKEN,DEBUG,TL_Kompania__2_Batalion_Pancerny: uzupełnia paliwo o 1,"{""fuel_after"": 3}"
2025-10-01T00:03:55,TOKEN,INFO,TL_Kompania__2_Batalion_Pancerny: koniec tury (wydane PE=1),"{""allocated_pe"": 2, ""spent_pe"": 1, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 1, ""movement_destination"": [25, -10], ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 2, ""resupply_spent"": 1, ""refueled"": 1, ""combat_restored"": 0, ""remaining_mp"": 3, ""remaining_fuel"": 3, ""combat_value"": 14, ""token_destroyed"": false}"
2025-10-01T00:03:55,TOKEN,INFO,P_Batalion__2_Batalion_Strzelc_w: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 25, ""position_r"": -9, ""move_points"": 2, ""fuel"": 2, ""combat_value"": 14}"
2025-10-01T00:03:55,TOKEN,INFO,"P_Batalion__2_Batalion_Strzelc_w: ruch na (26, -9) udany","{""destination_q"": 26, ""destination_r"": -9, ""remaining_mp"": 1, ""remaining_fuel"": 1}"
2025-10-01T00:03:55,TOKEN,DEBUG,P_Batalion__2_Batalion_Strzelc_w: uzupełnia paliwo o 1,"{""fuel_after"": 2}"
2025-10-01T00:03:55,TOKEN,INFO,P_Batalion__2_Batalion_Strzelc_w: koniec tury (wydane PE=1),"{""allocated_pe"": 2, ""spent_pe"": 1, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 1, ""movement_destination"": [26, -9], ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 2, ""resupply_spent"": 1, ""refueled"": 1, ""combat_restored"": 0, ""remaining_mp"": 1, ""remaining_fuel"": 2, ""combat_value"": 14, ""token_destroyed"": false}"
2025-10-01T00:03:55,TOKEN,INFO,P_Batalion__2_Batalion_Strzelc_w_20250913214005: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 25, ""position_r"": -8, ""move_points"": 7, ""fuel"": 2, ""combat_value"": 14}"
2025-10-01T00:03:55,TOKEN,INFO,"P_Batalion__2_Batalion_Strzelc_w_20250913214005: ruch na (26, -8) udany","{""destination_q"": 26, ""destination_r"": -8, ""remaining_mp"": 6, ""remaining_fuel"": 1}"
2025-10-01T00:03:55,TOKEN,DEBUG,P_Batalion__2_Batalion_Strzelc_w_20250913214005: uzupełnia paliwo o 1,"{""fuel_after"": 2}"
2025-10-01T00:03:55,TOKEN,INFO,P_Batalion__2_Batalion_Strzelc_w_20250913214005: koniec tury (wydane PE=1),"{""allocated_pe"": 2, ""spent_pe"": 1, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 1, ""movement_destination"": [26, -8], ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 2, ""resupply_spent"": 1, ""refueled"": 1, ""combat_restored"": 0, ""remaining_mp"": 6, ""remaining_fuel"": 2, ""combat_value"": 14, ""token_destroyed"": false}"
2025-10-01T00:03:55,TOKEN,INFO,P_Pluton__2_Kompania_Grenadier_w: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 25, ""position_r"": 5, ""move_points"": 2, ""fuel"": 2, ""combat_value"": 8}"
2025-10-01T00:03:55,TOKEN,INFO,"P_Pluton__2_Kompania_Grenadier_w: ruch na (26, 5) udany","{""destination_q"": 26, ""destination_r"": 5, ""remaining_mp"": 1, ""remaining_fuel"": 1}"
2025-10-01T00:03:55,TOKEN,DEBUG,P_Pluton__2_Kompania_Grenadier_w: uzupełnia paliwo o 1,"{""fuel_after"": 2}"
2025-10-01T00:03:55,TOKEN,INFO,P_Pluton__2_Kompania_Grenadier_w: koniec tury (wydane PE=1),"{""allocated_pe"": 2, ""spent_pe"": 1, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 1, ""movement_destination"": [26, 5], ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 2, ""resupply_spent"": 1, ""refueled"": 1, ""combat_restored"": 0, ""remaining_mp"": 1, ""remaining_fuel"": 2, ""combat_value"": 8, ""token_destroyed"": false}"
2025-10-01T00:03:55,TOKEN,INFO,Z_Pluton__2_Batalion_Wsparcia: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 27, ""position_r"": 4, ""move_points"": 5, ""fuel"": 4, ""combat_value"": 4}"
2025-10-01T00:03:55,TOKEN,INFO,"Z_Pluton__2_Batalion_Wsparcia: ruch na (27, 3) udany","{""destination_q"": 27, ""destination_r"": 3, ""remaining_mp"": 4, ""remaining_fuel"": 3}"
2025-10-01T00:03:55,TOKEN,DEBUG,Z_Pluton__2_Batalion_Wsparcia: uzupełnia paliwo o 1,"{""fuel_after"": 4}"
2025-10-01T00:03:55,TOKEN,INFO,Z_Pluton__2_Batalion_Wsparcia: koniec tury (wydane PE=1),"{""allocated_pe"": 2, ""spent_pe"": 1, ""unused_pe"": 1, ""movement_success"": true, ""movement_attempts"": 1, ""movement_destination"": [27, 3], ""attack_attempted"": false, ""attack_success"": false, ""counterattack"": null, ""damage_dealt"": null, ""damage_taken"": null, ""attacker_remaining"": null, ""defender_remaining"": null, ""resupply_budget"": 2, ""resupply_spent"": 1, ""refueled"": 1, ""combat_restored"": 0, ""remaining_mp"": 4, ""remaining_fuel"": 4, ""combat_value"": 4, ""token_destroyed"": false}"
2025-10-01T00:03:55,TOKEN,INFO,P_Kompania__2_Pu_k_Piechoty: start tury (budżet PE=2),"{""allocated_pe"": 2, ""position_q"": 28, ""position_r"": 2, ""move_points"": 2, ""fuel"": 2, ""combat_value"": 11}"
