timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,action,orders_issued,low_fuel_ratio,total_units,allocate_budget,purchase_budget,econ_after,vp_own,vp_enemy,vp_status
2025-09-14T14:55:57.264362,,Polska,53,0,0,0,53,PURCHASE,PURCHASE,0,0.0,20,0,0,53,0,0,0
2025-09-14T14:56:01.150373,,Polska,147,34,0,34,113,COMBO,COMBO,0,0.05,20,0,0,113,0,0,0
2025-09-14T14:56:06.306322,,Polska,255,76,0,76,179,COMBO,COMBO,0,0.3,20,0,0,179,0,0,0
2025-09-14T14:56:12.843937,,Polska,312,74,0,74,238,COMBO,COMBO,0,0.15,20,0,0,238,0,0,0
2025-09-14T14:56:19.203671,,Polska,329,98,0,98,231,COMBO,COMBO,0,0.4,20,0,0,231,0,-10,10
2025-09-14T14:56:26.350943,,Polska,253,75,0,75,178,COMBO,COMBO,0,0.42105263157894735,19,0,0,178,0,12,-12
2025-09-14T14:56:32.415082,,Polska,252,75,0,75,177,COMBO,COMBO,0,0.3157894736842105,19,0,0,177,0,12,-12
2025-09-14T14:56:38.754357,,Polska,226,67,0,67,159,COMBO,COMBO,0,0.3157894736842105,19,0,0,159,0,0,0
2025-09-14T14:56:45.691027,,Polska,217,64,0,64,153,COMBO,COMBO,0,0.47368421052631576,19,0,0,153,0,0,0
