timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,vp_own,vp_enemy,vp_status
2025-08-25T23:25:58.246574,,Niemcy,24,0,0,0,24,HOLD,0,0,0
2025-08-25T23:25:59.139885,,Niemcy,124,0,0,0,124,COMBO,0,0,0
