timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,vp_own,vp_enemy,vp_status
2025-08-25T23:14:12.131184,,Niemcy,98,23,16,39,59,COMBO,0,0,0
2025-08-25T23:14:13.316653,,Niemcy,90,21,16,37,53,COMBO,0,0,0
2025-08-25T23:14:14.544362,,Niemcy,134,55,0,55,79,COMBO,0,0,0
2025-08-25T23:14:16.017861,,Niemcy,109,65,0,65,44,ALLOCATE,0,0,0
2025-08-25T23:14:17.440237,,Niemcy,71,42,0,42,29,ALLOCATE,0,0,0
2025-08-25T23:14:19.010138,,Niemcy,126,75,0,75,51,ALLOCATE,0,0,0
2025-08-25T23:14:20.438177,,Niemcy,83,49,0,49,34,ALLOCATE,0,0,0
2025-08-25T23:14:21.822465,,Niemcy,53,31,0,31,22,ALLOCATE,0,0,0
2025-08-25T23:14:23.379921,,Niemcy,132,79,0,79,53,ALLOCATE,0,0,0
