timestamp,nation,action,econ_before,econ_after,allocated_total,units_bought,rule,metrics_json
2025-08-24T12:22:03,Polska,ALLOCATE,127,51,76,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 127, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""2"": 0.1, ""3"": 0.05}, ""norm"": {""2"": 0.667, ""3"": 0.333}, ""details"": {""2"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 147, ""avg_fuel"": 0.73, ""total_units"": 16}, ""3"": {""baza"": 0.1, ""brak_zaop"": 0.0, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.05, ""unspent"": 97, ""avg_fuel"": 0.57, ""total_units"": 9}}, ""allocations"": {""2"": 51, ""3"": 25}}}"
2025-08-24T12:22:03,Niemcy,ALLOCATE,121,49,72,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 121, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""5"": 0.3, ""6"": 0.1}, ""norm"": {""5"": 0.75, ""6"": 0.25}, ""details"": {""5"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.3, ""unspent"": 176, ""avg_fuel"": 0.56, ""total_units"": 9}, ""6"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 81, ""avg_fuel"": 0.74, ""total_units"": 17}}, ""allocations"": {""5"": 54, ""6"": 18}}}"
2025-08-24T12:22:03,Polska,ALLOCATE,63,26,37,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 63, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""2"": 0.1, ""3"": 0.05}, ""norm"": {""2"": 0.667, ""3"": 0.333}, ""details"": {""2"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 198, ""avg_fuel"": 0.73, ""total_units"": 16}, ""3"": {""baza"": 0.1, ""brak_zaop"": 0.0, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.05, ""unspent"": 122, ""avg_fuel"": 0.57, ""total_units"": 9}}, ""allocations"": {""2"": 25, ""3"": 12}}}"
2025-08-24T12:22:03,Niemcy,ALLOCATE,74,30,44,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 74, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""5"": 0.3, ""6"": 0.1}, ""norm"": {""5"": 0.75, ""6"": 0.25}, ""details"": {""5"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.3, ""unspent"": 230, ""avg_fuel"": 0.56, ""total_units"": 9}, ""6"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 99, ""avg_fuel"": 0.74, ""total_units"": 17}}, ""allocations"": {""5"": 33, ""6"": 11}}}"
2025-08-24T12:22:04,Polska,ALLOCATE,49,20,29,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 49, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""2"": 0.1, ""3"": 0.05}, ""norm"": {""2"": 0.667, ""3"": 0.333}, ""details"": {""2"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 223, ""avg_fuel"": 0.73, ""total_units"": 16}, ""3"": {""baza"": 0.1, ""brak_zaop"": 0.0, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.05, ""unspent"": 134, ""avg_fuel"": 0.57, ""total_units"": 9}}, ""allocations"": {""2"": 20, ""3"": 9}}}"
2025-08-24T12:22:04,Niemcy,COMBO,142,83,59,0,strategic_combo_KRYZYS_PALIWA,"{""econ"": 142, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_combo_KRYZYS_PALIWA"", ""allocate_budget"": 99, ""purchase_budget"": 21}"
2025-08-24T12:22:04,Polska,ALLOCATE,108,44,64,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 108, ""own_units"": 25, ""low_fuel_ratio"": 0.28, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""2"": 0.1, ""3"": 0.05}, ""norm"": {""2"": 0.667, ""3"": 0.333}, ""details"": {""2"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 243, ""avg_fuel"": 0.73, ""total_units"": 16}, ""3"": {""baza"": 0.1, ""brak_zaop"": 0.0, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.05, ""unspent"": 143, ""avg_fuel"": 0.57, ""total_units"": 9}}, ""allocations"": {""2"": 43, ""3"": 21}}}"
2025-08-24T12:22:04,Niemcy,ALLOCATE,132,53,79,0,strategic_allocate_KRYZYS_PALIWA,"{""econ"": 132, ""own_units"": 26, ""low_fuel_ratio"": 0.308, ""strategy_name"": ""KRYZYS_PALIWA"", ""budget_ratios"": {""reserve"": 0.15, ""allocate"": 0.7, ""purchase"": 0.15}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""strategic_allocate_KRYZYS_PALIWA"", ""allocation_weights"": {""raw"": {""5"": 0.3, ""6"": 0.1}, ""norm"": {""5"": 0.75, ""6"": 0.25}, ""details"": {""5"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.2, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.3, ""unspent"": 308, ""avg_fuel"": 0.56, ""total_units"": 9}, ""6"": {""baza"": 0.1, ""brak_zaop"": 0.4, ""brak_art"": 0.0, ""niskie_paliwo"": 0.0, ""malo_jednostek"": 0.0, ""kara_niewydane"": 0.4, ""suma"": 0.1, ""unspent"": 124, ""avg_fuel"": 0.74, ""total_units"": 17}}, ""allocations"": {""5"": 60, ""6"": 19}}}"
2025-08-24T12:47:11,Polska,HOLD,34,34,0,0,insufficient_budget,"{""econ"": 34, ""own_units"": 25, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""insufficient_budget""}"
2025-08-24T12:47:12,Niemcy,HOLD,6,6,0,0,econ<MIN_BUY,"{""econ"": 6, ""own_units"": 26, ""low_fuel_ratio"": 0.0, ""strategy_name"": ""ROZWÓJ"", ""budget_ratios"": {""reserve"": 0.2, ""allocate"": 0.4, ""purchase"": 0.4}, ""game_phase"": 0.1, ""vp_status"": 0, ""phase_name"": ""WCZESNA"", ""rule"": ""econ<MIN_BUY""}"
