timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,action,orders_issued,low_fuel_ratio,total_units,allocate_budget,purchase_budget,econ_after,vp_own,vp_enemy,vp_status
2025-09-14T14:25:00.816221,,Polska,51,0,0,0,51,PURCHASE,PURCHASE,0,0.0,20,0,0,51,0,0,0
2025-09-14T14:25:05.639708,,Polska,162,38,0,38,124,COMBO,COMBO,0,0.05,20,0,0,124,0,0,0
2025-09-14T14:25:10.909440,,Polska,217,64,0,64,153,COMBO,COMBO,0,0.3,20,0,0,153,0,0,0
2025-09-14T14:25:18.034268,,Polska,285,85,0,85,200,COMBO,COMBO,0,0.45,20,0,0,200,0,0,0
2025-09-14T14:25:24.635276,,Polska,304,91,0,91,213,COMBO,COMBO,0,0.45,20,0,0,213,0,0,0
2025-09-14T14:25:31.261866,,Polska,264,63,0,63,201,COMBO,COMBO,0,0.2,20,0,0,201,0,-10,10
2025-09-14T14:25:36.882505,,Polska,256,76,0,76,180,COMBO,COMBO,0,0.6,20,0,0,180,0,-10,10
2025-09-14T14:25:44.500687,,Polska,235,70,0,70,165,COMBO,COMBO,0,0.3,20,0,0,165,0,-22,22
2025-09-14T14:25:50.757284,,Polska,254,60,0,60,194,COMBO,COMBO,0,0.3,20,0,0,194,0,-22,22
