timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-15T23:51:22.608455,1,Polska,0,,0,
2025-09-15T23:51:24.526763,1,Niemcy,0,,0,
2025-09-15T23:51:26.137547,1,Polska,0,,0,
2025-09-15T23:51:29.050412,1,Niemcy,0,,0,
2025-09-15T23:51:32.070954,1,Polska,0,,0,
2025-09-15T23:51:34.724937,1,Niemcy,0,,0,
2025-09-15T23:51:37.738552,1,Polska,0,,0,
2025-09-15T23:51:40.474544,1,Niemcy,0,,0,
2025-09-15T23:51:43.807242,1,Polska,0,,0,
2025-09-15T23:51:47.169795,1,Niemcy,0,,0,
2025-09-15T23:51:49.876719,1,Polska,0,,0,
2025-09-15T23:51:53.457435,1,Niemcy,0,,0,
2025-09-15T23:51:56.768609,1,Polska,0,,0,
2025-09-15T23:51:59.831392,1,Niemcy,0,,0,
2025-09-15T23:52:03.435248,1,Polska,0,,0,
2025-09-15T23:52:06.596994,1,Niemcy,0,,0,
2025-09-15T23:52:09.104230,1,Polska,0,,0,
2025-09-15T23:52:11.692491,1,Niemcy,0,,0,
