timestamp,turn,nation,pe_start,pe_allocated,pe_spent_purchases,pe_total_used,pe_remaining,strategy_used,action,orders_issued,low_fuel_ratio,total_units,allocate_budget,purchase_budget,econ_after,vp_own,vp_enemy,vp_status
2025-09-15T23:51:22.621398,,Polska,7,0,0,0,7,HOLD,HOLD,0,0.0,20,0,0,7,0,0,0
2025-09-15T23:51:26.142949,,Polska,111,26,0,26,85,COMBO,COMBO,0,0.05,20,0,0,85,0,0,0
2025-09-15T23:51:32.081195,,Polska,133,31,0,31,102,COMBO,COMBO,0,0.15,20,0,0,102,0,0,0
2025-09-15T23:51:37.747543,,Polska,163,48,0,48,115,COMBO,COMBO,0,0.3,20,0,0,115,0,0,0
2025-09-15T23:51:43.815805,,Polska,224,67,0,67,157,COMBO,COMBO,0,0.4,20,0,0,157,0,0,0
2025-09-15T23:51:49.886832,,Polska,239,71,0,71,168,COMBO,COMBO,0,0.45,20,0,0,168,0,0,0
2025-09-15T23:51:56.777552,,Polska,243,72,0,72,171,COMBO,COMBO,0,0.5,20,0,0,171,0,0,0
2025-09-15T23:52:03.444632,,Polska,260,78,0,78,182,COMBO,COMBO,0,0.3,20,0,0,182,0,0,0
2025-09-15T23:52:09.115928,,Polska,224,67,0,67,157,COMBO,COMBO,0,0.42105263157894735,19,0,0,157,0,0,0
