timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-17T21:54:48.046357,1,Polska,0,,0,
2025-09-17T21:54:50.583328,1,Niemcy,0,,0,
2025-09-17T21:54:52.234063,1,Polska,0,,0,
2025-09-17T21:54:55.263983,1,Niemcy,0,,0,
2025-09-17T21:54:58.663770,1,Polska,0,,0,
2025-09-17T21:55:02.833506,1,Niemcy,0,,0,
2025-09-17T21:55:06.640707,1,Polska,0,,0,
2025-09-17T21:55:10.508000,1,Niemcy,0,,0,
2025-09-17T21:55:13.929741,1,Polska,0,,0,
2025-09-17T21:55:17.354779,1,Niemcy,0,,0,
2025-09-17T21:55:19.892427,1,Polska,0,,0,
2025-09-17T21:55:22.703259,1,Niemcy,0,,0,
2025-09-17T21:55:25.818518,1,Polska,0,,0,
2025-09-17T21:55:29.165201,1,Niemcy,0,,0,
2025-09-17T21:55:32.172907,1,Polska,0,,0,
2025-09-17T21:55:35.196965,1,Niemcy,0,,0,
2025-09-17T21:55:38.372242,1,Polska,0,,0,
2025-09-17T21:55:42.505661,1,Niemcy,0,,0,
