timestamp,turn,nation,requests_collected,urgency_breakdown,total_units_requested,top_priorities
2025-09-19T23:06:10.027925,1,Niemcy,0,,0,
2025-09-19T23:06:17.926095,1,Niemcy,0,,0,
2025-09-19T23:06:27.195555,1,Niemcy,0,,0,
2025-09-19T23:06:34.977473,1,Niemcy,0,,0,
2025-09-19T23:06:45.217459,1,Niemcy,0,,0,
2025-09-19T23:06:55.963506,1,Niemcy,0,,0,
2025-09-19T23:07:08.061817,1,Niemcy,0,,0,
2025-09-19T23:07:25.845522,1,Niemcy,0,,0,
2025-09-19T23:07:38.605747,1,Niemcy,0,,0,
2025-09-19T23:08:38.330298,1,Niemcy,0,,0,
