timestamp,player_id,decision_type,context_json,outcome,game_phase
2025-09-19T21:25:18.744841,AI_General_4_Niemcy,HOLD,"{""pe_start"": 7, ""pe_allocated"": 0, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T21:25:20.433852,AI_Strategic_5_Niemcy,TIED,"{""aggression_level"": 0.5, ""turn_number"": null, ""units_count"": 9, ""high_priority_targets"": 0}",completed,unknown
2025-09-19T21:25:21.467696,AI_Strategic_6_Niemcy,TIED,"{""aggression_level"": 0.5, ""turn_number"": null, ""units_count"": 5, ""high_priority_targets"": 0}",completed,unknown
2025-09-19T21:36:15.971269,AI_General_4_Niemcy,COMBO,"{""pe_start"": 119, ""pe_allocated"": 28, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T21:49:44.119484,AI_General_4_Niemcy,COMBO,"{""pe_start"": 141, ""pe_allocated"": 42, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T22:34:26.165785,AI_General_4_Niemcy,HOLD,"{""pe_start"": 15, ""pe_allocated"": 0, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T22:34:27.813776,AI_Strategic_5_Niemcy,TIED,"{""aggression_level"": 0.5, ""turn_number"": null, ""units_count"": 9, ""high_priority_targets"": 0}",completed,unknown
2025-09-19T22:34:28.845845,AI_Strategic_6_Niemcy,TIED,"{""aggression_level"": 0.5, ""turn_number"": null, ""units_count"": 5, ""high_priority_targets"": 0}",completed,unknown
2025-09-19T22:38:30.918209,AI_General_4_Niemcy,COMBO,"{""pe_start"": 165, ""pe_allocated"": 39, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T22:49:36.441948,AI_General_4_Niemcy,COMBO,"{""pe_start"": 209, ""pe_allocated"": 62, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T22:57:01.006291,AI_General_4_Niemcy,COMBO,"{""pe_start"": 204, ""pe_allocated"": 48, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T23:01:02.976247,AI_General_4_Niemcy,COMBO,"{""pe_start"": 236, ""pe_allocated"": 70, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T23:01:08.537875,AI_General_4_Niemcy,COMBO,"{""pe_start"": 270, ""pe_allocated"": 81, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
2025-09-19T23:01:13.938335,AI_General_4_Niemcy,COMBO,"{""pe_start"": 313, ""pe_allocated"": 93, ""pe_spent"": 0, ""turn_number"": null, ""units_bought"": 0, ""orders_issued"": false}",completed,unknown
