timestamp;turn;player_id;player_nation;player_role;action;token_id;target_token_id;from_q;from_r;to_q;to_r;result;vp_pl;vp_de;pe_pl;pe_de
2025-08-17T21:27:21;1;2;Polska;Dowódca;deploy;nowy_P_Pluton__2_Pluton_PL_20250817212715;;;;24;-12;deployed;0;0;42;0
2025-08-17T21:27:24;1;2;Polska;Dowódca;move;nowy_P_Pluton__2_Pluton_PL_20250817212715;;24;-12;25;-11;;0;0;42;0
2025-08-17T21:27:26;1;2;Polska;Dowódca;move_error;nowy_P_Pluton__2_Pluton_PL_20250817212715;;;;;;no_reachable_hex;0;0;42;0
2025-08-17T21:27:28;1;2;Polska;Dowódca;move_error;nowy_P_Pluton__2_Pluton_PL_20250817212715;;;;;;no_reachable_hex;0;0;42;0
2025-08-17T21:27:31;1;2;Polska;Dowódca;move;P_Batalion__2_Batalion_Strzelc_w;;24;-8;28;-9;OK;0;0;42;0
2025-08-17T21:27:33;1;2;Polska;Dowódca;move;TL_Kompania__2_Pluton_Tankietek;;23;-7;26;-9;;0;0;42;0
2025-08-17T21:27:35;1;2;Polska;Dowódca;move;P_Kompania__2_Batalion_Strzelc_w_20250703213012;;23;-8;27;-11;;0;0;42;0
2025-08-17T21:27:38;1;2;Polska;Dowódca;move;P_Kompania__2_Batalion_Strzelc_w;;20;-8;24;-9;OK;0;0;42;0
2025-08-17T21:27:41;1;2;Polska;Dowódca;move;P_Batalion__2_Kompania_Grenadier_w;;15;-7;19;-9;;0;0;42;0
2025-08-17T21:27:45;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty_20250703213008;;18;-2;22;-4;OK;0;0;42;0
2025-08-17T21:27:47;1;2;Polska;Dowódca;move;AL_Pluton__2_Bateria_Artylerii;;17;-1;20;-2;;0;0;42;0
2025-08-17T21:27:49;1;2;Polska;Dowódca;move;TL_Pluton__2_Pluton_Tankietek_20250703213014;;16;0;19;-1;;0;0;42;0
2025-08-17T21:27:52;1;2;Polska;Dowódca;move;P_Batalion__2_Pu_k_Piechoty;;23;-3;27;-4;;0;0;42;0
2025-08-17T21:27:54;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty;;21;3;25;-1;;0;0;42;0
2025-08-17T21:27:57;1;2;Polska;Dowódca;move;P_Batalion__2_Kompania_Grenadier_w_20250703213005;;20;3;24;-1;;0;0;42;0
2025-08-17T21:28:00;1;2;Polska;Dowódca;move;P_Kompania__2_Pu_k_Piechoty;;11;-1;14;-2;;0;0;42;0
2025-08-17T21:28:03;1;2;Polska;Dowódca;move;AL_Kompania__2_Dywizjon_Artylerii;;6;9;12;7;;0;0;42;0
2025-08-17T21:28:08;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w;;9;-4;13;-6;;0;0;42;0
2025-08-17T21:28:11;1;2;Polska;Dowódca;move;TL_Pluton__2_Pluton_Tankietek;;9;-3;11;-4;;0;0;42;0
2025-08-17T21:28:15;1;2;Polska;Dowódca;move;AL_Batalion__2_Pu_k_Artylerii;;8;-3;9;-4;OK;0;0;42;0
2025-08-17T21:28:18;1;2;Polska;Dowódca;end_turn;;;;;;;user;0;0;42;0
2025-08-17T21:28:22;1;3;Polska;Dowódca;deploy_error;;;;;27;4;invalid_spawn_hex;0;0;42;0
2025-08-17T21:28:24;1;3;Polska;Dowódca;deploy;nowy_P_Pluton__3_Pluton_PL_20250817212716;;;;18;24;deployed;0;0;42;0
2025-08-17T21:28:27;1;3;Polska;Dowódca;end_turn;;;;;;;user;0;0;42;0
2025-08-17T21:28:31;1;4;Niemcy;Generał;end_turn;;;;;;;ok;0;0;42;37
2025-08-17T21:28:34;1;5;Niemcy;Dowódca;end_turn;;;;;;;user;0;0;42;37
2025-08-17T21:28:37;1;6;Niemcy;Dowódca;end_turn;;;;;;;user;0;0;42;37
2025-08-17T21:29:14;1;2;Polska;Dowódca;deploy;nowy_P_Pluton__2_Pluton_PL_20250817212837;;;;24;-12;deployed;0;0;101;72
2025-08-17T21:29:17;1;2;Polska;Dowódca;move;nowy_P_Pluton__2_Pluton_PL_20250817212837;;24;-12;26;-13;;0;0;101;72
2025-08-17T21:29:20;1;2;Polska;Dowódca;move;P_Kompania__2_Batalion_Strzelc_w_20250703213012;;27;-11;30;-12;OK;0;0;101;72
2025-08-17T21:29:22;1;2;Polska;Dowódca;move;P_Batalion__2_Batalion_Strzelc_w;;28;-9;31;-11;OK;0;0;101;72
