timestamp;turn;player_id;player_nation;player_role;action;token_id;target_token_id;from_q;from_r;to_q;to_r;result;vp_pl;vp_de;pe_pl;pe_de
2025-08-28T21:09:41;1;1;Polska;Generał;end_turn;;;;;;;ok;0;0;19;0
2025-08-28T21:10:08;1;4;Niemcy;Generał;end_turn;;;;;;;ok;0;0;19;59
2025-08-28T21:10:30;1;1;Polska;Generał;end_turn;;;;;;;ok;0;0;96;59
2025-08-28T21:10:51;1;4;Niemcy;Generał;end_turn;;;;;;;ok;0;0;2;90
2025-08-28T21:11:14;1;1;Polska;Generał;end_turn;;;;;;;ok;-30;30;59;1
2025-08-28T21:11:31;1;4;Niemcy;Generał;end_turn;;;;;;;ok;-30;30;0;16
2025-08-28T21:11:46;1;1;Polska;Generał;end_turn;;;;;;;ok;-75;75;3;1
2025-08-28T21:11:57;1;4;Niemcy;Generał;end_turn;;;;;;;ok;-45;45;0;92
2025-08-28T21:12:07;1;1;Polska;Generał;end_turn;;;;;;;ok;-45;45;52;7
2025-08-28T21:12:19;1;4;Niemcy;Generał;end_turn;;;;;;;ok;-45;45;0;88
2025-08-28T21:12:31;1;1;Polska;Generał;end_turn;;;;;;;ok;-45;45;8;29
2025-08-28T21:12:42;1;4;Niemcy;Generał;end_turn;;;;;;;ok;5;-5;0;62
2025-08-28T21:12:53;1;1;Polska;Generał;end_turn;;;;;;;ok;-16;16;49;1
2025-08-28T21:13:00;1;4;Niemcy;Generał;end_turn;;;;;;;ok;29;-29;0;8
