timestamp;turn;player_id;player_nation;player_role;action;token_id;target_token_id;from_q;from_r;to_q;to_r;result;vp_pl;vp_de;pe_pl;pe_de
2025-08-19T22:45:43;1;2;Polska;Dowódca;deploy_error;;;;;;;no_hex_clicked;0;0;31;0
2025-08-19T22:45:47;1;2;Polska;Dowódca;deploy_error;;;;;2;-1;invalid_spawn_hex;0;0;31;0
2025-08-19T22:45:51;1;2;Polska;Dowódca;deploy;nowy_Z_Pluton__2_Pluton_PL_20250819224457;;;;6;-3;deployed;0;0;31;0
2025-08-19T22:45:56;1;2;Polska;Dowódca;move;P_Batalion__2_Batalion_Strzelc_w;;24;-8;27;-9;OK;0;0;31;0
2025-08-19T22:45:58;1;2;Polska;Dowódca;move;P_Kompania__2_Batalion_Strzelc_w_20250703213012;;23;-8;26;-10;;0;0;31;0
2025-08-19T22:46:02;1;2;Polska;Dowódca;move;TL_Kompania__2_Pluton_Tankietek;;23;-7;27;-8;OK;0;0;31;0
2025-08-19T22:46:04;1;2;Polska;Dowódca;move;P_Kompania__2_Batalion_Strzelc_w;;20;-8;24;-10;;0;0;31;0
2025-08-19T22:46:08;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty_20250703213008;;18;-2;22;-4;;0;0;31;0
2025-08-19T22:46:12;1;2;Polska;Dowódca;move;AL_Pluton__2_Bateria_Artylerii;;17;-1;22;-3;OK;0;0;31;0
2025-08-19T22:46:15;1;2;Polska;Dowódca;move;TL_Pluton__2_Pluton_Tankietek_20250703213014;;16;0;22;-2;OK;0;0;31;0
2025-08-19T22:46:19;1;2;Polska;Dowódca;move;P_Kompania__2_Pu_k_Piechoty;;11;-1;16;-2;;0;0;31;0
2025-08-19T22:46:22;1;2;Polska;Dowódca;move;TL_Pluton__2_Pluton_Tankietek;;9;-3;14;-2;;0;0;31;0
2025-08-19T22:46:27;1;2;Polska;Dowódca;move;P_Batalion__2_Kompania_Grenadier_w;;15;-7;21;-10;;0;0;31;0
2025-08-19T22:46:32;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w;;9;-4;15;-7;OK;0;0;31;0
2025-08-19T22:46:35;1;2;Polska;Dowódca;move;AL_Batalion__2_Pu_k_Artylerii;;8;-3;12;-2;OK;0;0;31;0
2025-08-19T22:46:38;1;2;Polska;Dowódca;move;nowy_Z_Pluton__2_Pluton_PL_20250819224457;;6;-3;8;-4;;0;0;31;0
2025-08-19T22:46:41;1;2;Polska;Dowódca;move;AL_Kompania__2_Dywizjon_Artylerii;;6;9;12;3;;0;0;31;0
2025-08-19T22:46:44;1;2;Polska;Dowódca;move;P_Batalion__2_Kompania_Grenadier_w_20250703213005;;20;3;24;-1;OK;0;0;31;0
2025-08-19T22:46:46;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty;;21;3;25;-1;;0;0;31;0
2025-08-19T22:46:49;1;2;Polska;Dowódca;end_turn;;;;;;;user;0;0;31;0
2025-08-19T22:46:54;1;3;Polska;Dowódca;end_turn;;;;;;;user;0;0;31;0
2025-08-19T22:46:57;1;4;Niemcy;Generał;end_turn;;;;;;;ok;0;0;31;25
2025-08-19T22:46:59;1;5;Niemcy;Dowódca;end_turn;;;;;;;user;0;0;31;25
2025-08-19T22:47:02;1;6;Niemcy;Dowódca;end_turn;;;;;;;user;0;0;31;25
