timestamp,nation,commander_id,unit_type,unit_size,cost,supports,points_before,points_after,budget_allocated,reserve,need_supply,need_art,pressure,enemy_has_armor,ratio,global_counts,enemy_counts
2025-08-26T18:45:54,Polska,2,AP,Pluton,20,,80,60,24,17,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:55,Niemcy,5,Z,Pluton,16,,77,61,24,16,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:55,Polska,2,TŚ,Pluton,32,,116,84,36,24,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:55,Niemcy,5,Z,Pluton,26,drużyna granatników,127,101,39,27,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:55,Polska,2,TC,Pluton,40,,137,97,42,29,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:55,Niemcy,5,Z,Pluton,26,drużyna granatników,151,125,47,32,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:55,Niemcy,5,AP,Pluton,20,,125,105,47,32,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:56,Polska,2,TŚ,Pluton,32,,109,77,34,23,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:56,Niemcy,5,Z,Pluton,26,drużyna granatników,125,99,39,26,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:56,Polska,2,AP,Pluton,25,obserwator,87,62,27,18,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:56,Niemcy,5,Z,Pluton,26,drużyna granatników,134,108,42,28,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:56,Niemcy,5,Z,Pluton,16,,108,92,42,28,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:56,Polska,2,TŚ,Pluton,32,,112,80,34,24,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:57,Niemcy,5,Z,Pluton,26,drużyna granatników,105,79,32,22,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:57,Polska,2,AP,Pluton,25,obserwator,101,76,31,21,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:57,Niemcy,5,Z,Pluton,26,drużyna granatników,127,101,39,27,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-26T18:45:57,Polska,2,AP,Pluton,20,,75,55,22,16,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-26T18:45:57,Niemcy,5,Z,Pluton,26,drużyna granatników,150,124,46,32,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
