timestamp;turn;player_id;player_nation;player_role;action;token_id;target_token_id;from_q;from_r;to_q;to_r;result;vp_pl;vp_de;pe_pl;pe_de
2025-09-11T23:12:08;1;1;Polska;Generał;end_turn;;;;;;;ok;0;0;99;0
2025-09-11T23:12:22;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty;;23;-3;25;-3;;0;0;99;0
2025-09-11T23:12:24;1;2;Polska;Dowódca;resupply;P_Pluton__2_Pu_k_Piechoty;;;;25;-3;fuel+2, combat+0;0;0;97;0
2025-09-11T23:12:29;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty;;25;-3;27;-3;OK;0;0;97;0
2025-09-11T23:12:35;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty_20250907191758;;20;3;22;1;;0;0;97;0
2025-09-11T23:12:38;1;2;Polska;Dowódca;resupply;P_Pluton__2_Pu_k_Piechoty_20250907191758;;;;22;1;fuel+2, combat+0;0;0;95;0
2025-09-11T23:12:40;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty_20250907191758;;22;1;24;-1;;0;0;95;0
2025-09-11T23:12:44;1;2;Polska;Dowódca;resupply;P_Pluton__2_Pu_k_Piechoty_20250907191758;;;;24;-1;fuel+2, combat+0;0;0;93;0
2025-09-11T23:12:46;1;2;Polska;Dowódca;move;P_Pluton__2_Pu_k_Piechoty_20250907191758;;24;-1;26;-2;;0;0;93;0
2025-09-11T23:12:51;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;17;-1;19;-2;;0;0;93;0
2025-09-11T23:12:54;1;2;Polska;Dowódca;resupply;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;;;19;-2;fuel+2, combat+0;0;0;91;0
2025-09-11T23:12:56;1;2;Polska;Dowódca;move_error;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;;;;;no_reachable_hex;0;0;91;0
2025-09-11T23:12:57;1;2;Polska;Dowódca;move_error;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;;;;;no_reachable_hex;0;0;91;0
2025-09-11T23:13:04;1;2;Polska;Dowódca;move_error;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;;;;;no_reachable_hex;0;0;91;0
2025-09-11T23:13:05;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w_20250907191752;;19;-2;20;-3;;0;0;91;0
2025-09-11T23:13:15;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w;;11;-1;13;-1;;0;0;91;0
2025-09-11T23:13:18;1;2;Polska;Dowódca;resupply;P_Pluton__2_Batalion_Strzelc_w;;;;13;-1;fuel+2, combat+0;0;0;89;0
2025-09-11T23:13:23;1;2;Polska;Dowódca;move;P_Pluton__2_Batalion_Strzelc_w;;13;-1;14;0;;0;0;89;0
