timestamp,nation,commander_id,unit_type,unit_size,cost,supports,points_before,points_after,budget_allocated,reserve,need_supply,need_art,pressure,enemy_has_armor,ratio,global_counts,enemy_counts
2025-08-25T23:14:11,Polska,2,K,Pluton,18,,59,41,18,12,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:14:12,Niemcy,5,Z,Pluton,16,,75,59,23,16,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-25T23:14:12,Polska,2,P,Pluton,15,,48,33,15,10,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:14:13,Niemcy,5,Z,Pluton,16,,69,53,21,15,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-25T23:14:15,Polska,2,Z,Pluton,16,,112,96,16,12,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:14:18,Polska,2,Z,Pluton,16,,116,100,17,12,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:14:19,Polska,2,P,Pluton,15,,103,88,15,11,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:22:26,Niemcy,5,Z,Pluton,16,,57,41,18,12,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
2025-08-25T23:22:27,Polska,2,K,Pluton,18,,63,45,19,13,True,False,0.0,False,0.6,"{""AL"": 4, ""P"": 14, ""TL"": 4, ""Z"": 1, ""TS"": 1, ""K"": 1}",{}
2025-08-25T23:22:29,Niemcy,5,Z,Pluton,26,drużyna granatników,103,77,32,22,True,False,0.0,False,0.6,"{""P"": 15, ""TL"": 4, ""TŚ"": 1, ""K"": 1, ""AL"": 4, ""TS"": 1}",{}
